,Reviews
170,"10/16/2014
    

Best barbershop in the San Francisco and Daly City hands down! Great atmosphere, wifi hotspot, and it's connected to a shoe store!! I went in with my boyfriend, barbershops usually make me uncomfortable because I'm a girl but the vibe in this shop is super chill. My boyfriend got a low taper fade from Henry and he looked sexy!  I even got to use their free wifi, so I didn't have to waste my data. I stream a lot. My bf also got a good deal on a pair of rare sneakers. Two thumbs up! Ask for Henry!"
171,"8/24/2015
    

I have been coming here for over a year now. Great service, friendly environment and they know what they're doing. Many people compliment me after I get a haircut from Henry."
172,"7/24/2015
    

Been out of town for a while so I needed a new shop. Atmosphere is laid back. Got cut by Henry and he did a solid job. Didn't rush got the lil details and made sure he have me the cut that I wanted. 5 star spot that I'll be coming back to on the regular."
173,"7/4/2015
    

Called around on the 4th of July and every barber shop fully booked.  Got lucky and Stan at City Fade Barber Shop got me in. 1st time getting a haircut in a loooolong time and great experience. Didn't know what I wanted but showed Stan a picture of the cut. He took a look and said OK then BOOM he gave me what I wanted.  Great price, laid back atmosphere. Will be back again!"
174,"10/14/2014
    

Go to Kristin or Jason guarantee they have u lookin fresh city wit the fade. Also Check out the man wit a plan to get u a nice deal on some kicks. 4thquarter randy he will put you on wit some fly stuff so make sure to get laced up . Make sure to make an appt because it will be hard to get a haircut without one."
175,"9/15/2017
            





Updated review



Got another good inexpensive haircut today.  Nice Staff."
176,"10/24/2015
    

Such a great place. This has been my go to place for quite a while now, and I'm pretty sure other people as well.These guys deserve more reviews because their service is outstanding.Cheers"
177,"9/21/2016
    

fast, affordable, friendly, i was satified with my cut"
178,"3/19/2015
    

The first time I came here, I got an awful haircut because the lady was impatient so I decided I wouldn't come here again. The second time, other places were closed on a Saturday or too expensive, so I came back here as a last result because I needed a hair cut pretty badly.Michelle cut my hair this time and she did a fine job. She listened to my requests and got rid of my cowlicks when I asked her to fix them. I'll return in the future as long as Michelle is available."
179,"8/11/2015
    

Gloria always does a perfect hard part and a warm conversation. I seriously feel as if my mom is cutting my hair. She does everything with love."
180,"8/19/2008
    

Here $10 gets you a good haircut, but only by the shop's veteran barber Michelle. Michelle is the one customers look for, which makes her the queen of Generation Cuts. Michelle conjures up sincere conversation and can cut a great haircut at the same time.Michelle has been here for years. She knows the vendors up and down the block. There aren't many reviews here because most of her clientele are older folks and their children/grandchildren. Which makes me wonder if that's why they called it Generation Cuts. I'll ask next time.4 stars because Michelle is tough to have do your hair. Parking is a bit tough too. Parking spots on Mission and in the back is seldom found. Which is why I park at the Walgreens behind the Western Union."
181,"3/21/2010
    








1 check-in
        


Went here to fix a horrible haircut I had recieved some place else.  I explained the issues, They fixed them and gave me the haircut I was looking for originally."
182,"10/2/2008
    

They must have just raised the prices because I got charged $11 for a haircut but I'm not complaining, it's still the cheapest in town. Very nice barbers here and very quick service. After looking for a new barber, I finally found one."
183,"1/21/2008
    








First to Review
        


Been coming here for years now.  Everyone here is a regular and for the same reason Its cheap ($10) and its fast.  Although the wait can be very long at times so I suggest coming in on slower days in the morning."
